student_id,attendance_rate,internal_marks,study_hours_weekly,previous_gpa,assignment_completion_rate,tutoring_support,class_participation,extracurricular_hours,sleep_hours,final_score,performance_category
STU-1020,65.6,47.5,11.7,3.01,57.7,0,2,1.3,6.0,41.7,At Risk
STU-1021,87.2,68.9,9.2,3.06,59.1,1,2,5.2,7.2,77.6,Good
STU-1022,54.8,54.4,8.8,2.45,49.3,0,1,11.3,6.0,46.4,At Risk
STU-1023,81.8,71.3,16.2,2.53,85.9,0,2,12.7,7.0,64.8,Average
STU-1024,70.4,49.8,10.7,2.67,62.9,1,2,2.9,7.9,57.6,Average
STU-1025,78.2,61.1,13.1,2.56,68.8,0,3,10.9,6.9,63.1,Average
STU-1026,79.3,60.7,12.5,3.0,81.7,0,2,0.2,6.5,68.3,Average
STU-1027,64.4,53.4,8.3,2.78,43.9,0,1,7.6,7.2,54.9,Average
STU-1028,76.5,57.4,13.5,3.19,58.0,0,1,12.4,7.8,61.8,Average
STU-1029,76.0,69.1,17.2,3.34,59.5,0,3,5.8,5.7,70.6,Average
STU-1030,71.2,58.6,12.3,3.31,66.9,0,3,2.0,7.3,69.6,Average
STU-1031,70.2,64.2,15.0,2.87,67.9,1,2,8.6,8.6,69.6,Average
STU-1032,80.0,68.4,13.6,3.18,82.7,1,2,5.6,7.7,73.6,Average
STU-1033,57.6,68.0,17.7,3.52,64.9,1,2,10.5,7.1,81.7,Good
STU-1034,44.3,54.0,14.8,3.25,48.9,0,2,4.5,7.8,54.6,Average
STU-1035,71.4,65.7,14.1,3.89,66.2,0,2,4.9,7.5,70.2,Average
STU-1036,75.7,73.7,13.9,3.49,69.3,0,2,0.0,7.9,75.8,Good
STU-1037,95.7,81.5,15.3,3.82,67.6,0,2,8.7,4.6,81.6,Good
STU-1038,77.7,44.3,6.0,1.93,81.6,1,1,7.4,5.1,47.1,At Risk
STU-1039,60.7,73.3,13.8,3.09,64.1,0,2,3.2,8.2,62.6,Average
STU-1040,45.0,62.9,21.2,2.9,61.9,1,1,8.8,5.2,61.0,Average
STU-1041,75.7,69.0,16.8,2.99,76.7,0,2,12.1,7.5,78.4,Good
STU-1042,93.7,83.3,16.1,2.69,86.5,0,3,7.1,6.6,77.0,Good
STU-1043,57.9,67.4,11.7,3.23,54.8,1,1,9.1,5.8,59.5,Average
STU-1044,68.6,54.4,14.2,2.24,59.7,0,1,9.1,7.4,56.6,Average
STU-1045,77.1,79.5,20.5,3.23,81.8,1,3,3.2,7.2,79.0,Good
STU-1046,67.9,48.0,9.3,2.7,61.6,1,2,16.2,9.5,50.7,Average
STU-1047,87.6,66.9,13.3,2.82,67.7,1,3,6.1,6.3,73.5,Average
STU-1048,82.8,73.3,15.3,3.25,85.3,0,3,10.6,8.7,81.1,Good
STU-1049,55.7,56.5,12.3,3.09,57.7,1,1,11.1,7.4,63.0,Average
STU-1050,78.6,76.4,15.5,3.52,77.7,0,3,7.4,6.2,76.2,Good
STU-1051,85.4,70.0,12.6,2.61,83.2,0,2,10.4,8.0,69.4,Average
STU-1052,71.9,63.0,12.1,3.01,64.2,0,2,9.0,7.7,61.2,Average
STU-1053,56.8,59.9,18.6,3.45,66.1,0,2,2.3,7.0,65.1,Average
STU-1054,90.3,65.1,10.5,3.21,78.7,0,1,6.7,7.3,73.7,Average
STU-1055,59.5,54.5,12.7,3.24,52.2,1,3,5.5,6.3,60.0,Average
STU-1056,65.0,68.6,17.7,3.55,67.4,1,2,6.2,6.0,76.2,Good
STU-1057,81.4,81.6,20.2,2.87,80.0,0,3,2.8,7.9,80.1,Good
STU-1058,91.2,65.1,15.9,2.77,71.6,0,2,12.5,6.7,65.1,Average
STU-1059,92.2,77.2,14.4,3.31,96.5,0,3,14.4,6.9,85.7,Good
STU-1060,67.1,63.1,12.1,2.98,50.2,0,2,11.9,7.3,62.9,Average
STU-1061,90.9,74.4,14.2,3.55,66.7,1,3,13.1,7.3,73.7,Average
STU-1062,71.6,68.4,12.7,3.22,75.1,0,2,6.6,5.3,69.4,Average
STU-1063,74.2,54.9,7.7,2.77,65.8,1,2,5.5,8.5,54.1,Average
STU-1064,68.4,73.8,21.4,3.2,65.1,0,2,4.9,7.1,79.5,Good
STU-1065,89.6,64.2,10.8,2.64,77.1,0,2,10.6,6.8,58.3,Average
STU-1066,43.0,58.9,12.7,3.48,60.6,1,2,8.9,7.5,59.9,Average
STU-1067,66.9,43.9,11.4,2.42,60.2,0,1,7.7,7.3,48.8,At Risk
STU-1068,90.6,78.0,13.4,3.6,96.7,0,2,13.2,7.9,82.3,Good
STU-1069,81.2,73.3,16.9,3.19,61.1,0,3,9.6,7.6,78.7,Good
STU-1070,95.9,74.4,10.5,2.98,80.9,0,3,4.6,7.9,67.8,Average
STU-1071,88.0,89.1,17.1,3.39,88.3,0,2,5.3,8.6,92.3,Good
STU-1072,69.2,62.6,13.0,3.28,70.8,0,2,10.7,8.1,68.3,Average
STU-1073,87.6,88.7,16.5,3.65,76.3,1,3,12.2,6.8,95.4,Good
STU-1074,89.3,79.2,18.6,3.64,79.1,0,3,10.2,5.7,90.2,Good
STU-1075,56.9,64.9,12.1,3.21,59.4,0,1,15.6,9.0,60.1,Average
STU-1076,68.6,65.4,14.1,2.66,71.2,0,2,14.5,6.7,56.5,Average
STU-1077,64.2,46.3,8.0,2.81,59.7,1,2,9.8,6.4,49.7,At Risk
STU-1078,92.1,83.1,19.1,3.02,91.9,0,3,4.6,4.9,90.4,Good
STU-1079,96.2,84.6,18.9,3.54,77.4,0,3,2.8,7.4,95.0,Good
STU-1080,95.9,74.0,11.6,2.84,74.8,0,3,6.5,7.2,70.5,Average
STU-1081,60.9,58.9,16.8,2.88,56.1,0,2,11.0,5.2,48.8,At Risk
STU-1082,82.7,82.9,20.7,3.88,77.2,0,3,15.3,7.5,89.0,Good
STU-1083,95.2,82.3,12.6,3.0,85.6,0,3,9.7,6.4,77.7,Good
STU-1084,67.6,56.2,11.5,2.76,61.8,0,2,12.7,10.0,55.6,Average
STU-1085,86.6,79.9,12.1,3.4,93.0,1,3,7.0,6.3,84.3,Good
STU-1086,59.2,55.6,12.8,3.02,59.5,0,2,10.5,6.5,61.4,Average
STU-1087,79.4,62.9,6.6,2.42,62.1,0,2,11.3,6.0,59.1,Average
STU-1088,79.0,72.5,17.7,3.52,75.5,0,3,0.1,8.5,81.5,Good
STU-1089,75.5,58.7,14.1,2.71,63.3,0,2,6.3,6.6,53.5,Average
STU-1090,83.3,72.7,9.2,3.07,66.4,0,3,11.8,6.1,67.9,Average
STU-1091,72.7,68.9,18.5,3.02,81.2,1,3,9.1,7.8,84.8,Good
STU-1092,84.7,77.8,11.6,3.15,71.4,0,2,3.2,5.3,74.5,Average
STU-1093,81.1,77.3,24.1,2.06,77.2,0,2,0.0,7.8,71.3,Average
STU-1094,39.2,44.5,12.9,2.9,39.6,0,1,6.5,9.1,46.4,At Risk
STU-1095,75.3,67.9,21.0,3.56,73.0,0,3,7.7,7.7,81.5,Good
STU-1096,88.2,75.6,13.0,3.62,74.7,0,2,4.5,7.8,68.7,Average
STU-1097,84.9,63.2,9.9,2.6,78.1,0,2,8.6,8.0,60.9,Average
STU-1098,86.6,79.1,13.2,3.46,62.7,0,3,10.0,9.1,78.6,Good
STU-1099,85.1,68.8,7.9,2.71,63.7,0,3,10.7,8.5,69.2,Average
STU-1100,69.9,51.6,9.0,2.88,60.4,0,2,0.0,7.5,55.0,Average
STU-1101,87.0,69.9,11.8,2.91,57.3,0,2,2.7,8.1,60.5,Average
STU-1102,74.6,70.0,14.3,3.1,61.5,1,2,6.8,5.9,72.3,Average
STU-1103,84.4,77.4,12.2,3.5,65.6,1,2,10.3,7.9,74.6,Average
STU-1104,81.0,69.5,12.3,3.17,62.9,0,2,10.0,5.8,64.0,Average
STU-1105,88.9,55.9,10.6,2.99,73.2,0,2,9.9,6.6,60.6,Average
STU-1106,70.7,67.3,14.6,3.49,65.1,0,2,6.5,4.0,70.1,Average
STU-1107,78.7,56.2,13.6,2.69,65.2,0,3,6.7,7.5,67.3,Average
STU-1108,70.5,61.5,13.0,3.02,67.8,0,1,5.1,6.2,63.8,Average
STU-1109,93.6,85.3,13.2,3.5,91.1,0,3,11.1,8.3,87.9,Good
STU-1110,93.9,85.4,17.9,3.29,96.2,1,3,4.3,7.5,91.3,Good
STU-1111,64.6,62.4,13.0,2.84,45.7,0,2,11.4,8.3,59.2,Average
STU-1112,54.5,48.2,10.2,2.37,56.8,1,1,8.8,5.7,49.1,At Risk
STU-1113,61.3,48.7,10.9,3.19,55.4,1,2,7.8,8.2,47.5,At Risk
STU-1114,36.6,25.7,13.1,2.34,47.1,0,1,5.4,9.5,33.6,At Risk
STU-1115,88.8,71.6,13.9,2.95,72.3,0,3,2.6,7.9,68.7,Average
STU-1116,37.8,55.9,17.0,3.58,52.1,0,1,5.4,7.9,63.9,Average
STU-1117,58.5,54.1,13.4,3.32,59.5,1,2,6.7,7.2,61.7,Average
STU-1118,76.7,39.5,7.6,2.14,56.7,0,1,0.0,6.4,42.4,At Risk
STU-1119,64.1,65.3,21.2,3.14,63.5,0,1,7.2,7.9,62.2,Average
STU-1120,71.1,57.2,11.0,2.91,58.7,1,1,11.7,5.2,63.4,Average
STU-1121,41.2,40.9,7.3,2.48,43.3,0,2,10.3,6.5,40.3,At Risk
STU-1122,84.9,73.7,14.1,3.2,78.4,0,2,6.0,4.9,76.5,Good
STU-1123,70.3,69.6,11.8,2.83,69.7,0,2,8.2,6.2,60.1,Average
STU-1124,64.0,54.7,16.1,2.83,60.6,0,2,5.8,7.8,56.1,Average
STU-1125,96.9,80.3,12.6,3.11,80.7,0,3,8.6,7.6,80.3,Good
STU-1126,64.5,59.7,13.8,2.77,69.7,0,3,14.2,7.1,58.2,Average
STU-1127,95.9,88.0,19.2,3.09,95.1,0,2,11.9,7.2,88.0,Good
STU-1128,61.1,52.9,12.9,2.78,58.6,0,1,10.1,4.7,43.5,At Risk
STU-1129,56.7,55.3,9.2,2.81,50.5,0,3,6.0,6.6,51.1,Average
STU-1130,90.1,74.9,11.0,3.5,74.3,0,3,11.0,6.2,85.3,Good
STU-1131,63.1,62.3,16.5,3.54,55.3,1,2,1.3,6.2,72.2,Average
STU-1132,84.3,55.8,8.3,2.28,64.8,0,2,7.0,7.7,54.5,Average
STU-1133,89.2,76.3,15.2,3.39,83.3,0,3,10.3,6.0,89.2,Good
STU-1134,87.3,82.8,15.6,3.68,81.9,0,3,11.0,6.3,75.8,Good
STU-1135,68.0,60.0,13.0,3.75,60.8,0,2,10.7,4.5,63.6,Average
STU-1136,79.5,69.2,13.4,3.28,71.5,1,3,9.2,6.6,73.0,Average
STU-1137,81.4,58.4,8.1,2.57,57.9,0,2,7.2,5.7,59.7,Average
STU-1138,40.2,51.5,12.7,3.33,53.0,0,1,10.2,7.1,56.3,Average
STU-1139,77.3,72.1,14.5,2.66,69.3,0,2,4.2,5.9,62.8,Average
STU-1140,88.3,72.9,12.4,2.9,71.2,0,3,4.6,7.1,75.9,Good
STU-1141,90.6,76.1,15.6,3.22,75.7,0,3,8.2,6.8,77.5,Good
STU-1142,87.2,66.6,11.7,2.69,71.5,0,3,8.7,9.0,71.9,Average
STU-1143,77.6,58.0,9.6,2.53,60.6,0,3,0.7,7.6,53.2,Average
STU-1144,88.2,77.7,14.6,3.26,81.3,0,2,9.8,4.8,76.7,Good
STU-1145,71.2,58.7,13.0,3.89,61.6,0,2,11.1,5.5,68.2,Average
STU-1146,94.9,85.3,18.1,3.61,96.7,0,1,7.7,7.1,92.2,Good
STU-1147,88.1,65.1,12.1,3.37,84.7,0,2,17.5,5.9,70.6,Average
STU-1148,72.6,78.5,16.6,3.49,62.7,0,3,5.3,4.0,74.8,Average
STU-1149,74.0,66.6,13.2,3.34,67.1,0,2,6.6,8.6,71.2,Average
STU-1150,78.6,63.2,10.8,3.25,61.0,0,2,6.4,7.9,68.1,Average
STU-1151,81.0,75.5,12.8,3.45,67.3,0,2,7.7,7.6,78.3,Good
STU-1152,89.0,69.0,11.8,2.43,89.1,0,3,6.7,6.3,68.0,Average
STU-1153,95.6,81.3,23.6,3.14,88.4,0,3,2.4,7.5,85.5,Good
STU-1154,68.7,60.5,12.4,3.01,65.5,0,2,5.8,6.2,60.3,Average
STU-1155,72.8,74.4,22.3,3.09,81.1,1,1,7.6,7.2,77.5,Good
STU-1156,63.4,39.6,8.3,2.84,46.8,1,1,12.9,5.9,48.6,At Risk
STU-1157,64.3,56.5,13.1,3.28,54.2,0,2,16.8,8.8,60.9,Average
STU-1158,79.6,58.3,11.0,2.68,57.3,0,2,13.3,5.1,58.9,Average
STU-1159,70.3,59.4,13.7,2.81,58.0,0,2,4.9,8.5,53.9,Average
STU-1160,70.9,43.7,9.8,2.76,38.0,1,2,5.2,7.0,54.7,Average
STU-1161,71.2,77.2,15.7,3.44,72.4,0,3,7.4,6.4,77.6,Good
STU-1162,68.0,62.0,12.2,3.04,78.5,0,1,15.1,7.2,66.0,Average
STU-1163,60.7,61.5,16.9,2.84,64.8,0,3,7.3,7.9,63.4,Average
STU-1164,96.5,73.3,12.7,2.88,67.0,0,3,2.7,8.6,66.3,Average
STU-1165,68.0,74.5,27.6,3.05,75.4,0,2,6.0,7.4,73.4,Average
STU-1166,78.1,77.7,15.5,3.78,67.9,0,3,11.0,5.9,80.6,Good
STU-1167,82.6,62.1,14.9,2.49,65.2,1,2,10.8,7.1,67.7,Average
STU-1168,77.1,73.4,20.5,3.35,83.9,0,2,7.2,9.2,70.4,Average
STU-1169,91.9,73.7,9.2,3.26,78.1,0,3,10.7,8.6,74.6,Average
STU-1170,68.8,66.6,13.7,2.65,55.0,0,3,0.0,8.1,64.3,Average
STU-1171,57.5,67.2,12.8,3.71,62.8,0,2,8.4,8.0,65.4,Average
STU-1172,77.2,75.3,13.2,3.29,80.5,0,3,11.4,7.8,75.3,Good
STU-1173,56.1,47.8,9.0,2.82,66.9,0,1,4.7,8.4,46.0,At Risk
STU-1174,62.4,46.6,14.1,2.21,84.2,0,2,4.7,6.5,47.5,At Risk
STU-1175,97.7,82.1,11.7,3.15,70.6,0,3,0.5,5.4,77.3,Good
STU-1176,83.0,78.8,9.1,3.03,89.2,0,3,14.4,7.1,69.8,Average
STU-1177,65.2,62.7,11.4,2.59,56.7,0,2,5.1,6.0,59.2,Average
STU-1178,90.0,69.2,16.6,2.58,74.7,1,3,9.0,5.7,70.2,Average
STU-1179,59.4,52.8,11.9,3.44,59.6,1,2,10.4,6.1,58.3,Average
STU-1180,86.8,54.2,12.2,2.17,67.7,0,2,14.0,10.0,63.4,Average
STU-1181,75.5,51.9,9.5,3.19,66.1,1,3,7.4,7.2,67.5,Average
STU-1182,85.5,73.9,18.8,2.97,69.0,1,3,5.8,7.4,70.9,Average
STU-1183,87.5,84.4,15.2,3.27,74.5,0,3,8.7,5.5,78.3,Good
STU-1184,83.9,63.5,9.3,2.92,77.6,0,3,13.1,4.8,66.2,Average
STU-1185,69.7,69.2,16.3,3.18,67.4,0,2,7.3,6.0,71.1,Average
STU-1186,63.6,60.8,9.9,2.72,58.0,0,1,4.2,8.7,47.7,At Risk
STU-1187,75.9,59.6,10.4,3.03,68.0,0,2,1.8,7.4,67.0,Average
STU-1188,39.7,62.8,12.3,3.27,56.0,0,2,3.1,7.7,60.7,Average
STU-1189,75.0,78.3,15.5,3.12,56.6,0,2,11.5,7.9,74.2,Average
STU-1190,76.6,64.2,11.1,3.22,70.1,0,3,6.7,6.3,73.6,Average
STU-1191,76.7,49.7,6.6,2.63,58.0,1,1,5.6,8.7,53.8,Average
STU-1192,72.3,61.7,10.2,2.78,63.3,0,3,5.1,6.2,62.5,Average
STU-1193,82.5,70.0,17.0,2.79,84.3,0,3,8.3,8.7,79.3,Good
STU-1194,55.7,51.9,17.5,2.93,52.1,1,1,7.0,7.5,62.8,Average
STU-1195,76.9,78.6,14.1,3.66,61.1,1,2,6.9,4.9,75.4,Good
STU-1196,75.8,65.3,10.5,2.89,48.8,1,2,13.4,6.1,65.9,Average
STU-1197,83.4,58.8,8.8,2.54,62.0,0,2,14.2,4.9,54.2,Average
STU-1198,79.5,61.6,12.1,3.29,78.9,1,2,1.6,8.4,72.4,Average
STU-1199,77.7,64.7,13.9,3.66,68.5,0,2,9.3,7.0,75.0,Good
STU-1200,70.0,53.8,11.1,2.48,51.1,1,2,4.9,4.3,46.7,At Risk
STU-1201,74.7,80.5,22.3,3.94,74.0,0,3,7.0,7.5,87.9,Good
STU-1202,96.0,69.7,11.2,3.24,64.3,0,2,9.2,6.4,73.9,Average
STU-1203,97.8,83.7,12.8,3.52,70.1,0,3,7.1,5.2,82.1,Good
STU-1204,91.0,87.7,17.0,3.71,83.6,0,3,8.9,9.0,91.0,Good
STU-1205,78.6,82.5,17.4,3.49,64.7,1,3,10.7,7.1,87.0,Good
STU-1206,74.2,54.2,9.2,3.0,70.8,0,2,9.2,6.6,58.7,Average
STU-1207,56.8,71.6,23.0,3.6,68.3,1,3,5.4,6.5,80.3,Good
STU-1208,83.1,73.1,12.4,3.16,71.3,0,2,5.5,5.2,77.4,Good
STU-1209,67.5,66.2,11.8,3.54,59.1,0,2,2.2,5.4,69.6,Average
STU-1210,51.9,67.1,11.8,3.59,58.9,1,2,4.6,8.5,67.5,Average
STU-1211,77.3,57.2,7.1,2.56,67.3,1,2,15.8,6.4,52.6,Average
STU-1212,97.2,97.0,18.9,3.41,88.8,0,3,4.8,7.0,96.3,Good
STU-1213,56.3,58.7,12.7,2.97,60.7,0,2,3.2,4.5,57.5,Average
STU-1214,80.5,79.6,17.6,3.11,73.7,0,3,9.3,5.4,83.7,Good
STU-1215,80.8,66.0,12.7,3.11,74.0,0,2,7.6,7.7,68.7,Average
STU-1216,78.2,71.7,17.4,3.09,71.2,0,3,7.2,7.5,66.8,Average
STU-1217,85.6,84.1,15.5,3.74,75.7,1,3,13.6,9.1,80.5,Good
STU-1218,62.1,61.3,12.0,2.44,56.4,0,1,10.2,8.6,55.6,Average
STU-1219,71.9,55.2,9.2,2.27,56.9,1,2,5.9,6.7,50.2,Average
STU-1220,80.0,51.9,8.3,2.18,58.4,0,2,6.3,7.6,51.8,Average
STU-1221,63.0,71.6,12.7,3.53,63.6,0,2,6.0,6.6,69.8,Average
STU-1222,63.1,45.4,13.8,2.7,71.7,1,1,11.5,9.5,53.6,Average
STU-1223,76.7,55.4,10.4,3.11,74.0,0,2,6.8,8.4,61.7,Average
STU-1224,70.8,67.4,15.1,3.0,57.0,0,2,0.8,7.2,62.3,Average
STU-1225,74.9,60.6,11.4,2.65,75.2,0,2,7.8,7.2,59.9,Average
STU-1226,90.8,83.8,17.2,3.43,78.0,1,2,1.9,8.7,83.4,Good
STU-1227,84.1,69.7,13.3,2.99,77.0,1,2,16.7,7.7,70.6,Average
STU-1228,70.0,69.1,17.3,2.94,62.0,0,2,4.1,8.9,66.5,Average
STU-1229,79.5,65.1,14.8,3.15,72.6,0,2,7.4,4.4,66.9,Average
STU-1230,56.2,64.6,14.7,3.37,61.1,0,2,9.0,7.6,68.9,Average
STU-1231,46.8,43.6,6.5,2.62,31.7,1,2,6.8,6.4,41.2,At Risk
STU-1232,75.1,84.7,19.8,3.44,79.9,0,3,6.8,9.1,88.4,Good
STU-1233,81.9,86.1,12.2,3.7,80.5,0,3,9.7,8.9,89.5,Good
STU-1234,88.8,58.6,6.8,2.41,65.6,0,3,14.1,7.0,61.2,Average
STU-1235,89.4,80.1,16.5,3.18,89.9,0,3,11.1,8.8,84.0,Good
STU-1236,89.3,59.6,12.3,2.91,72.4,0,3,13.9,9.1,68.8,Average
STU-1237,88.1,68.2,10.7,3.36,78.1,0,2,3.8,7.1,75.8,Good
STU-1238,71.3,48.8,8.8,2.5,42.0,0,1,9.3,10.0,47.8,At Risk
STU-1239,65.5,86.0,21.0,3.78,90.6,0,3,8.6,7.0,91.4,Good
STU-1240,70.1,50.5,10.2,2.33,72.8,0,2,9.4,6.7,53.7,Average
STU-1241,71.8,65.9,12.5,2.94,62.2,0,3,13.5,8.0,63.6,Average
STU-1242,80.0,64.7,11.8,3.25,52.4,0,3,7.1,6.6,72.0,Average
STU-1243,53.5,53.3,14.7,2.74,59.4,1,2,6.4,7.1,56.7,Average
STU-1244,90.4,65.4,10.9,2.67,61.2,1,3,10.1,8.7,67.1,Average
STU-1245,62.9,61.3,15.6,3.15,66.9,0,1,0.9,7.0,61.0,Average
STU-1246,66.1,55.9,10.9,3.08,62.7,1,3,7.1,5.0,63.1,Average
STU-1247,78.1,67.7,23.2,3.05,73.3,0,2,7.5,7.4,79.0,Good
STU-1248,74.9,77.3,20.5,3.44,84.8,0,2,4.3,6.2,84.6,Good
STU-1249,86.3,65.7,12.6,2.87,79.0,0,2,12.2,8.0,69.2,Average
STU-1250,51.7,55.3,14.8,3.19,64.0,0,1,3.8,7.8,60.3,Average
STU-1251,69.6,58.9,10.2,2.82,60.6,1,2,7.5,8.8,64.9,Average
STU-1252,92.9,72.7,13.8,2.67,66.3,1,2,9.2,8.1,71.1,Average
STU-1253,58.1,51.7,8.0,2.92,59.4,0,1,13.4,8.3,45.3,At Risk
STU-1254,67.0,72.7,19.4,2.83,68.0,0,2,8.0,6.2,74.9,Average
STU-1255,76.5,67.0,14.4,2.85,58.2,0,3,11.7,8.0,64.6,Average
STU-1256,78.4,70.1,12.7,3.57,79.2,0,3,10.8,9.4,72.7,Average
STU-1257,73.9,71.4,19.7,2.94,91.1,0,3,8.5,6.2,67.7,Average
STU-1258,84.5,78.5,21.1,2.75,81.5,0,3,3.6,9.2,81.1,Good
STU-1259,78.0,73.8,14.4,3.06,87.5,0,3,2.3,6.3,67.1,Average
STU-1260,53.8,61.1,11.0,3.1,53.5,0,1,8.4,6.0,52.6,Average
STU-1261,57.5,55.5,10.7,2.52,51.4,0,1,5.8,7.4,51.3,Average
STU-1262,79.0,62.9,14.3,2.92,65.6,0,2,11.7,7.9,68.7,Average
STU-1263,70.8,63.0,13.3,2.9,78.0,0,2,11.0,8.1,61.1,Average
STU-1264,86.7,68.5,10.0,2.97,63.4,1,2,7.3,5.8,68.0,Average
STU-1265,66.8,75.1,16.3,3.38,72.2,0,2,3.4,7.5,69.8,Average
STU-1266,86.6,81.6,17.9,3.11,74.6,0,3,10.0,6.2,78.5,Good
STU-1267,81.2,70.5,12.4,3.6,65.9,0,2,3.9,5.2,75.1,Good
STU-1268,93.8,63.0,10.0,3.04,81.8,0,2,5.0,5.9,66.4,Average
STU-1269,75.1,67.4,14.8,3.85,66.0,0,1,4.1,6.1,73.0,Average
STU-1270,85.5,66.5,11.3,2.84,67.3,0,2,7.4,7.6,59.5,Average
STU-1271,70.3,64.7,14.6,2.7,75.2,0,2,12.7,8.4,67.9,Average
STU-1272,42.4,54.2,18.7,3.3,68.5,1,1,8.0,5.2,63.6,Average
STU-1273,73.7,70.8,13.4,3.66,71.8,0,2,6.2,7.4,77.4,Good
STU-1274,64.5,54.4,10.8,2.43,53.2,1,2,1.9,5.6,58.4,Average
STU-1275,69.0,58.6,17.0,2.96,64.3,1,1,10.2,7.8,61.1,Average
STU-1276,44.5,66.9,22.5,2.78,62.1,0,2,4.9,6.3,61.5,Average
STU-1277,86.5,69.6,13.9,3.11,76.8,0,2,8.5,5.7,64.3,Average
STU-1278,95.4,81.3,13.8,3.05,71.1,0,2,6.6,8.0,90.6,Good
STU-1279,98.2,83.5,17.1,3.66,90.3,0,2,11.4,6.3,88.0,Good
STU-1280,77.3,57.6,11.8,3.0,67.4,1,2,7.4,6.6,68.8,Average
STU-1281,69.5,66.6,16.1,3.67,53.8,0,2,7.8,4.3,64.9,Average
STU-1282,90.8,62.6,8.1,2.91,62.2,0,3,9.9,8.1,69.1,Average
STU-1283,75.2,65.6,13.2,3.47,63.2,0,2,16.4,8.0,77.7,Good
STU-1284,84.5,71.2,15.2,3.15,74.1,0,2,11.6,7.0,73.2,Average
STU-1285,73.0,76.1,14.1,3.83,82.2,0,2,7.6,5.2,74.4,Average
STU-1286,63.6,53.1,13.3,2.39,62.8,0,2,8.0,8.5,52.0,Average
STU-1287,75.4,50.8,6.8,2.53,52.9,0,2,5.9,6.2,40.9,At Risk
STU-1288,85.8,75.4,19.8,3.87,82.7,0,3,4.2,6.5,87.6,Good
STU-1289,75.4,65.8,14.6,2.72,66.2,0,3,5.8,9.8,69.2,Average
STU-1290,83.0,77.6,22.5,2.75,85.2,1,3,4.9,6.2,80.9,Good
STU-1291,84.9,72.3,10.1,2.66,73.5,0,3,10.6,7.9,65.7,Average
STU-1292,79.2,69.8,15.3,3.57,81.6,0,2,3.7,7.7,78.6,Good
STU-1293,87.2,59.8,17.2,2.49,78.4,0,3,13.3,7.5,69.7,Average
STU-1294,82.5,81.3,18.9,3.06,91.2,0,2,11.0,7.3,72.8,Average
STU-1295,75.9,71.5,16.5,2.93,78.8,0,2,8.1,7.5,71.1,Average
STU-1296,94.3,74.9,16.3,3.52,75.8,0,3,8.0,7.3,93.3,Good
STU-1297,49.8,51.1,18.4,2.8,77.1,0,2,5.8,6.9,51.8,Average
STU-1298,64.5,90.0,27.9,3.24,81.6,1,3,9.1,8.8,84.9,Good
STU-1299,84.2,71.4,12.8,2.52,65.0,1,3,12.4,5.4,76.6,Good
STU-1300,95.5,75.0,17.4,4.0,96.6,0,2,5.2,8.2,93.6,Good
STU-1301,70.5,64.0,15.2,2.94,83.6,0,2,1.9,8.0,64.2,Average
STU-1302,77.4,76.3,13.6,3.05,68.6,0,3,10.8,7.8,73.3,Average
STU-1303,60.3,63.8,15.4,3.79,57.6,1,2,9.3,8.3,72.0,Average
STU-1304,86.1,67.0,15.2,2.79,74.2,0,3,3.5,6.9,67.3,Average
STU-1305,87.4,78.4,14.9,3.8,81.7,0,3,5.1,4.8,83.8,Good
